Tag, Datum, Mannschaft, Anpfiff, Dauer, Status, Details
Sonntag, 22. November, 1. Herren, 16:00, 15:30 - 18:00, fix & im Kalender, V3 vs Heilbronn
Sonntag, 6. Dezember, 1. VL Damen , 13:00, 12:30 - 15:00, fix & im Kalender, V10 vs SSV Ulm
Sonntag, 6. Dezember, 1. Herren, 16:00, 15:30 - 18:00, fix & im Kalender, V7 vs Tübingen
Sonntag, 13. Dezember, 1. VL Damen, 11:00, 10:30 - 12:00, nachgefragt via Carla, V12 vs Feudenheimer HC 2
Sonntag, 13. Dezember, 1. Herren, 16:00, 15:30 - 18:00, fix & im Kalender, V12 vs VfB Stuttgart
Sonntag, 20. Dezember, 1. VL Damen, 16:00, 15:30 - 18:00, nachgefragt , V16 vs TSV Ludwigsburg
Sonntag, 17. Januar, 1. VL Damen, 11:00, 10:30 - 12:00, nachgefragt via Slack, V21 vs MHC
Sonntag, 17. Januar, 1. Herren, 16:00, 15:30 - 18:00, fix & im Kalender, V21 vs TSV MA
Sonntag,31. Januar, 1. Damen,16:00,15:30 - 18:00, nachgefragt via Slack, Bietigheimer HTC 2
Sonntag, 7. Februar, 1. Herren, 11:00, 10:30 - 13:00, fix & im Kalender, V28 vs Bietigheim - paralleler Anpfiff für alle Spiele






